"10540: Registrerte arbeidsledige (prosent), etter region, alder, måned og statistikkvariabel"

"region";"alder";"måned";"Registrert helt arbeidsledige"
"1101 Eigersund";"15-74 år";"1999M01";1.5
"1101 Eigersund";"15-74 år";"1999M02";1.5
"1101 Eigersund";"15-74 år";"1999M03";1.3
"1101 Eigersund";"15-74 år";"1999M04";1.8
"1101 Eigersund";"15-74 år";"1999M05";1.3
"1101 Eigersund";"15-74 år";"1999M06";1.4
"1101 Eigersund";"15-74 år";"1999M07";2.0
"1101 Eigersund";"15-74 år";"1999M08";2.4
"1101 Eigersund";"15-74 år";"1999M09";1.9
"1101 Eigersund";"15-74 år";"1999M10";1.6
"1101 Eigersund";"15-74 år";"1999M11";1.5
"1101 Eigersund";"15-74 år";"1999M12";1.6
"1101 Eigersund";"15-74 år";"2000M01";2.1
"1101 Eigersund";"15-74 år";"2000M02";1.9
"1101 Eigersund";"15-74 år";"2000M03";2.0
"1101 Eigersund";"15-74 år";"2000M04";2.7
"1101 Eigersund";"15-74 år";"2000M05";2.6
"1101 Eigersund";"15-74 år";"2000M06";3.3
"1101 Eigersund";"15-74 år";"2000M07";4.9
"1101 Eigersund";"15-74 år";"2000M08";3.7
"1101 Eigersund";"15-74 år";"2000M09";3.1
"1101 Eigersund";"15-74 år";"2000M10";2.6
"1101 Eigersund";"15-74 år";"2000M11";2.6
"1101 Eigersund";"15-74 år";"2000M12";3.0
"1101 Eigersund";"15-74 år";"2001M01";2.8
"1101 Eigersund";"15-74 år";"2001M02";2.6
"1101 Eigersund";"15-74 år";"2001M03";2.6
"1101 Eigersund";"15-74 år";"2001M04";2.7
"1101 Eigersund";"15-74 år";"2001M05";2.3
"1101 Eigersund";"15-74 år";"2001M06";2.1
"1101 Eigersund";"15-74 år";"2001M07";2.7
"1101 Eigersund";"15-74 år";"2001M08";2.6
"1101 Eigersund";"15-74 år";"2001M09";2.2
"1101 Eigersund";"15-74 år";"2001M10";2.0
"1101 Eigersund";"15-74 år";"2001M11";2.0
"1101 Eigersund";"15-74 år";"2001M12";2.1
"1101 Eigersund";"15-74 år";"2002M01";2.3
"1101 Eigersund";"15-74 år";"2002M02";2.2
"1101 Eigersund";"15-74 år";"2002M03";2.1
"1101 Eigersund";"15-74 år";"2002M04";2.3
"1101 Eigersund";"15-74 år";"2002M05";2.0
"1101 Eigersund";"15-74 år";"2002M06";1.7
"1101 Eigersund";"15-74 år";"2002M07";2.4
"1101 Eigersund";"15-74 år";"2002M08";2.4
"1101 Eigersund";"15-74 år";"2002M09";2.1
"1101 Eigersund";"15-74 år";"2002M10";2.1
"1101 Eigersund";"15-74 år";"2002M11";3.0
"1101 Eigersund";"15-74 år";"2002M12";2.9
"1102 Sandnes (-2019)";"15-74 år";"1999M01";2.2
"1102 Sandnes (-2019)";"15-74 år";"1999M02";2.2
"1102 Sandnes (-2019)";"15-74 år";"1999M03";2.2
"1102 Sandnes (-2019)";"15-74 år";"1999M04";2.1
"1102 Sandnes (-2019)";"15-74 år";"1999M05";2.0
"1102 Sandnes (-2019)";"15-74 år";"1999M06";2.3
"1102 Sandnes (-2019)";"15-74 år";"1999M07";2.7
"1102 Sandnes (-2019)";"15-74 år";"1999M08";2.7
"1102 Sandnes (-2019)";"15-74 år";"1999M09";2.4
"1102 Sandnes (-2019)";"15-74 år";"1999M10";2.4
"1102 Sandnes (-2019)";"15-74 år";"1999M11";2.5
"1102 Sandnes (-2019)";"15-74 år";"1999M12";2.4
"1102 Sandnes (-2019)";"15-74 år";"2000M01";2.9
"1102 Sandnes (-2019)";"15-74 år";"2000M02";2.7
"1102 Sandnes (-2019)";"15-74 år";"2000M03";2.6
"1102 Sandnes (-2019)";"15-74 år";"2000M04";2.7
"1102 Sandnes (-2019)";"15-74 år";"2000M05";2.8
"1102 Sandnes (-2019)";"15-74 år";"2000M06";2.8
"1102 Sandnes (-2019)";"15-74 år";"2000M07";3.1
"1102 Sandnes (-2019)";"15-74 år";"2000M08";3.2
"1102 Sandnes (-2019)";"15-74 år";"2000M09";3.1
"1102 Sandnes (-2019)";"15-74 år";"2000M10";3.1
"1102 Sandnes (-2019)";"15-74 år";"2000M11";3.2
"1102 Sandnes (-2019)";"15-74 år";"2000M12";3.3
"1102 Sandnes (-2019)";"15-74 år";"2001M01";3.3
"1102 Sandnes (-2019)";"15-74 år";"2001M02";3.1
"1102 Sandnes (-2019)";"15-74 år";"2001M03";3.1
"1102 Sandnes (-2019)";"15-74 år";"2001M04";2.8
"1102 Sandnes (-2019)";"15-74 år";"2001M05";2.6
"1102 Sandnes (-2019)";"15-74 år";"2001M06";2.6
"1102 Sandnes (-2019)";"15-74 år";"2001M07";2.7
"1102 Sandnes (-2019)";"15-74 år";"2001M08";2.9
"1102 Sandnes (-2019)";"15-74 år";"2001M09";2.8
"1102 Sandnes (-2019)";"15-74 år";"2001M10";2.9
"1102 Sandnes (-2019)";"15-74 år";"2001M11";3.0
"1102 Sandnes (-2019)";"15-74 år";"2001M12";3.0
"1102 Sandnes (-2019)";"15-74 år";"2002M01";3.5
"1102 Sandnes (-2019)";"15-74 år";"2002M02";3.1
"1102 Sandnes (-2019)";"15-74 år";"2002M03";3.1
"1102 Sandnes (-2019)";"15-74 år";"2002M04";3.0
"1102 Sandnes (-2019)";"15-74 år";"2002M05";2.9
"1102 Sandnes (-2019)";"15-74 år";"2002M06";2.9
"1102 Sandnes (-2019)";"15-74 år";"2002M07";3.3
"1102 Sandnes (-2019)";"15-74 år";"2002M08";3.4
"1102 Sandnes (-2019)";"15-74 år";"2002M09";3.2
"1102 Sandnes (-2019)";"15-74 år";"2002M10";3.3
"1102 Sandnes (-2019)";"15-74 år";"2002M11";3.2
"1102 Sandnes (-2019)";"15-74 år";"2002M12";3.3
"1103 Stavanger";"15-74 år";"1999M01";2.6
"1103 Stavanger";"15-74 år";"1999M02";2.5
"1103 Stavanger";"15-74 år";"1999M03";2.6
"1103 Stavanger";"15-74 år";"1999M04";2.5
"1103 Stavanger";"15-74 år";"1999M05";2.3
"1103 Stavanger";"15-74 år";"1999M06";2.6
"1103 Stavanger";"15-74 år";"1999M07";3.0
"1103 Stavanger";"15-74 år";"1999M08";3.2
"1103 Stavanger";"15-74 år";"1999M09";2.9
"1103 Stavanger";"15-74 år";"1999M10";3.0
"1103 Stavanger";"15-74 år";"1999M11";2.9
"1103 Stavanger";"15-74 år";"1999M12";3.0
"1103 Stavanger";"15-74 år";"2000M01";3.4
"1103 Stavanger";"15-74 år";"2000M02";3.2
"1103 Stavanger";"15-74 år";"2000M03";3.3
"1103 Stavanger";"15-74 år";"2000M04";3.5
"1103 Stavanger";"15-74 år";"2000M05";3.6
"1103 Stavanger";"15-74 år";"2000M06";3.9
"1103 Stavanger";"15-74 år";"2000M07";4.1
"1103 Stavanger";"15-74 år";"2000M08";4.2
"1103 Stavanger";"15-74 år";"2000M09";4.0
"1103 Stavanger";"15-74 år";"2000M10";4.0
"1103 Stavanger";"15-74 år";"2000M11";3.8
"1103 Stavanger";"15-74 år";"2000M12";3.9
"1103 Stavanger";"15-74 år";"2001M01";4.1
"1103 Stavanger";"15-74 år";"2001M02";3.7
"1103 Stavanger";"15-74 år";"2001M03";3.5
"1103 Stavanger";"15-74 år";"2001M04";3.3
"1103 Stavanger";"15-74 år";"2001M05";3.1
"1103 Stavanger";"15-74 år";"2001M06";3.2
"1103 Stavanger";"15-74 år";"2001M07";3.5
"1103 Stavanger";"15-74 år";"2001M08";3.7
"1103 Stavanger";"15-74 år";"2001M09";3.7
"1103 Stavanger";"15-74 år";"2001M10";3.6
"1103 Stavanger";"15-74 år";"2001M11";3.6
"1103 Stavanger";"15-74 år";"2001M12";3.7
"1103 Stavanger";"15-74 år";"2002M01";4.1
"1103 Stavanger";"15-74 år";"2002M02";3.8
"1103 Stavanger";"15-74 år";"2002M03";3.8
"1103 Stavanger";"15-74 år";"2002M04";3.8
"1103 Stavanger";"15-74 år";"2002M05";3.7
"1103 Stavanger";"15-74 år";"2002M06";3.9
"1103 Stavanger";"15-74 år";"2002M07";4.3
"1103 Stavanger";"15-74 år";"2002M08";4.4
"1103 Stavanger";"15-74 år";"2002M09";4.1
"1103 Stavanger";"15-74 år";"2002M10";4.2
"1103 Stavanger";"15-74 år";"2002M11";4.2
"1103 Stavanger";"15-74 år";"2002M12";4.2
"1106 Haugesund";"15-74 år";"1999M01";2.5
"1106 Haugesund";"15-74 år";"1999M02";2.6
"1106 Haugesund";"15-74 år";"1999M03";2.4
"1106 Haugesund";"15-74 år";"1999M04";2.5
"1106 Haugesund";"15-74 år";"1999M05";2.2
"1106 Haugesund";"15-74 år";"1999M06";2.6
"1106 Haugesund";"15-74 år";"1999M07";3.2
"1106 Haugesund";"15-74 år";"1999M08";3.9
"1106 Haugesund";"15-74 år";"1999M09";4.0
"1106 Haugesund";"15-74 år";"1999M10";4.1
"1106 Haugesund";"15-74 år";"1999M11";3.9
"1106 Haugesund";"15-74 år";"1999M12";4.1
"1106 Haugesund";"15-74 år";"2000M01";5.2
"1106 Haugesund";"15-74 år";"2000M02";4.9
"1106 Haugesund";"15-74 år";"2000M03";4.8
"1106 Haugesund";"15-74 år";"2000M04";4.1
"1106 Haugesund";"15-74 år";"2000M05";4.6
"1106 Haugesund";"15-74 år";"2000M06";4.5
"1106 Haugesund";"15-74 år";"2000M07";5.1
"1106 Haugesund";"15-74 år";"2000M08";5.0
"1106 Haugesund";"15-74 år";"2000M09";4.7
"1106 Haugesund";"15-74 år";"2000M10";4.9
"1106 Haugesund";"15-74 år";"2000M11";5.0
"1106 Haugesund";"15-74 år";"2000M12";5.1
"1106 Haugesund";"15-74 år";"2001M01";5.5
"1106 Haugesund";"15-74 år";"2001M02";4.9
"1106 Haugesund";"15-74 år";"2001M03";4.6
"1106 Haugesund";"15-74 år";"2001M04";4.1
"1106 Haugesund";"15-74 år";"2001M05";4.0
"1106 Haugesund";"15-74 år";"2001M06";4.4
"1106 Haugesund";"15-74 år";"2001M07";4.7
"1106 Haugesund";"15-74 år";"2001M08";4.8
"1106 Haugesund";"15-74 år";"2001M09";4.5
"1106 Haugesund";"15-74 år";"2001M10";4.4
"1106 Haugesund";"15-74 år";"2001M11";4.4
"1106 Haugesund";"15-74 år";"2001M12";4.4
"1106 Haugesund";"15-74 år";"2002M01";4.9
"1106 Haugesund";"15-74 år";"2002M02";4.6
"1106 Haugesund";"15-74 år";"2002M03";4.7
"1106 Haugesund";"15-74 år";"2002M04";4.4
"1106 Haugesund";"15-74 år";"2002M05";4.3
"1106 Haugesund";"15-74 år";"2002M06";4.4
"1106 Haugesund";"15-74 år";"2002M07";4.9
"1106 Haugesund";"15-74 år";"2002M08";4.6
"1106 Haugesund";"15-74 år";"2002M09";4.4
"1106 Haugesund";"15-74 år";"2002M10";4.2
"1106 Haugesund";"15-74 år";"2002M11";4.3
"1106 Haugesund";"15-74 år";"2002M12";4.3
"1108 Sandnes";"15-74 år";"1999M01";.
"1108 Sandnes";"15-74 år";"1999M02";.
"1108 Sandnes";"15-74 år";"1999M03";.
"1108 Sandnes";"15-74 år";"1999M04";.
"1108 Sandnes";"15-74 år";"1999M05";.
"1108 Sandnes";"15-74 år";"1999M06";.
"1108 Sandnes";"15-74 år";"1999M07";.
"1108 Sandnes";"15-74 år";"1999M08";.
"1108 Sandnes";"15-74 år";"1999M09";.
"1108 Sandnes";"15-74 år";"1999M10";.
"1108 Sandnes";"15-74 år";"1999M11";.
"1108 Sandnes";"15-74 år";"1999M12";.
"1108 Sandnes";"15-74 år";"2000M01";.
"1108 Sandnes";"15-74 år";"2000M02";.
"1108 Sandnes";"15-74 år";"2000M03";.
"1108 Sandnes";"15-74 år";"2000M04";.
"1108 Sandnes";"15-74 år";"2000M05";.
"1108 Sandnes";"15-74 år";"2000M06";.
"1108 Sandnes";"15-74 år";"2000M07";.
"1108 Sandnes";"15-74 år";"2000M08";.
"1108 Sandnes";"15-74 år";"2000M09";.
"1108 Sandnes";"15-74 år";"2000M10";.
"1108 Sandnes";"15-74 år";"2000M11";.
"1108 Sandnes";"15-74 år";"2000M12";.
"1108 Sandnes";"15-74 år";"2001M01";.
"1108 Sandnes";"15-74 år";"2001M02";.
"1108 Sandnes";"15-74 år";"2001M03";.
"1108 Sandnes";"15-74 år";"2001M04";.
"1108 Sandnes";"15-74 år";"2001M05";.
"1108 Sandnes";"15-74 år";"2001M06";.
"1108 Sandnes";"15-74 år";"2001M07";.
"1108 Sandnes";"15-74 år";"2001M08";.
"1108 Sandnes";"15-74 år";"2001M09";.
"1108 Sandnes";"15-74 år";"2001M10";.
"1108 Sandnes";"15-74 år";"2001M11";.
"1108 Sandnes";"15-74 år";"2001M12";.
"1108 Sandnes";"15-74 år";"2002M01";.
"1108 Sandnes";"15-74 år";"2002M02";.
"1108 Sandnes";"15-74 år";"2002M03";.
"1108 Sandnes";"15-74 år";"2002M04";.
"1108 Sandnes";"15-74 år";"2002M05";.
"1108 Sandnes";"15-74 år";"2002M06";.
"1108 Sandnes";"15-74 år";"2002M07";.
"1108 Sandnes";"15-74 år";"2002M08";.
"1108 Sandnes";"15-74 år";"2002M09";.
"1108 Sandnes";"15-74 år";"2002M10";.
"1108 Sandnes";"15-74 år";"2002M11";.
"1108 Sandnes";"15-74 år";"2002M12";.
"1111 Sokndal";"15-74 år";"1999M01";2.7
"1111 Sokndal";"15-74 år";"1999M02";2.2
"1111 Sokndal";"15-74 år";"1999M03";2.6
"1111 Sokndal";"15-74 år";"1999M04";2.1
"1111 Sokndal";"15-74 år";"1999M05";1.6
"1111 Sokndal";"15-74 år";"1999M06";2.0
"1111 Sokndal";"15-74 år";"1999M07";2.3
"1111 Sokndal";"15-74 år";"1999M08";2.4
"1111 Sokndal";"15-74 år";"1999M09";1.9
"1111 Sokndal";"15-74 år";"1999M10";2.0
"1111 Sokndal";"15-74 år";"1999M11";2.0
"1111 Sokndal";"15-74 år";"1999M12";2.0
"1111 Sokndal";"15-74 år";"2000M01";2.8
"1111 Sokndal";"15-74 år";"2000M02";3.7
"1111 Sokndal";"15-74 år";"2000M03";3.3
"1111 Sokndal";"15-74 år";"2000M04";2.7
"1111 Sokndal";"15-74 år";"2000M05";2.4
"1111 Sokndal";"15-74 år";"2000M06";3.7
"1111 Sokndal";"15-74 år";"2000M07";4.4
"1111 Sokndal";"15-74 år";"2000M08";4.4
"1111 Sokndal";"15-74 år";"2000M09";4.4
"1111 Sokndal";"15-74 år";"2000M10";4.3
"1111 Sokndal";"15-74 år";"2000M11";4.4
"1111 Sokndal";"15-74 år";"2000M12";4.5
"1111 Sokndal";"15-74 år";"2001M01";4.3
"1111 Sokndal";"15-74 år";"2001M02";4.1
"1111 Sokndal";"15-74 år";"2001M03";3.9
"1111 Sokndal";"15-74 år";"2001M04";3.7
"1111 Sokndal";"15-74 år";"2001M05";3.5
"1111 Sokndal";"15-74 år";"2001M06";3.3
"1111 Sokndal";"15-74 år";"2001M07";3.0
"1111 Sokndal";"15-74 år";"2001M08";3.2
"1111 Sokndal";"15-74 år";"2001M09";3.4
"1111 Sokndal";"15-74 år";"2001M10";2.8
"1111 Sokndal";"15-74 år";"2001M11";3.3
"1111 Sokndal";"15-74 år";"2001M12";3.9
"1111 Sokndal";"15-74 år";"2002M01";4.5
"1111 Sokndal";"15-74 år";"2002M02";4.2
"1111 Sokndal";"15-74 år";"2002M03";3.7
"1111 Sokndal";"15-74 år";"2002M04";3.0
"1111 Sokndal";"15-74 år";"2002M05";2.7
"1111 Sokndal";"15-74 år";"2002M06";2.7
"1111 Sokndal";"15-74 år";"2002M07";3.7
"1111 Sokndal";"15-74 år";"2002M08";3.4
"1111 Sokndal";"15-74 år";"2002M09";3.0
"1111 Sokndal";"15-74 år";"2002M10";3.4
"1111 Sokndal";"15-74 år";"2002M11";3.9
"1111 Sokndal";"15-74 år";"2002M12";4.1
"1112 Lund";"15-74 år";"1999M01";1.0
"1112 Lund";"15-74 år";"1999M02";1.2
"1112 Lund";"15-74 år";"1999M03";0.8
"1112 Lund";"15-74 år";"1999M04";0.8
"1112 Lund";"15-74 år";"1999M05";0.8
"1112 Lund";"15-74 år";"1999M06";0.9
"1112 Lund";"15-74 år";"1999M07";1.6
"1112 Lund";"15-74 år";"1999M08";1.3
"1112 Lund";"15-74 år";"1999M09";0.9
"1112 Lund";"15-74 år";"1999M10";0.8
"1112 Lund";"15-74 år";"1999M11";1.1
"1112 Lund";"15-74 år";"1999M12";0.9
"1112 Lund";"15-74 år";"2000M01";1.6
"1112 Lund";"15-74 år";"2000M02";1.8
"1112 Lund";"15-74 år";"2000M03";1.6
"1112 Lund";"15-74 år";"2000M04";1.6
"1112 Lund";"15-74 år";"2000M05";1.6
"1112 Lund";"15-74 år";"2000M06";2.0
"1112 Lund";"15-74 år";"2000M07";2.3
"1112 Lund";"15-74 år";"2000M08";1.9
"1112 Lund";"15-74 år";"2000M09";1.5
"1112 Lund";"15-74 år";"2000M10";1.4
"1112 Lund";"15-74 år";"2000M11";1.6
"1112 Lund";"15-74 år";"2000M12";1.8
"1112 Lund";"15-74 år";"2001M01";2.1
"1112 Lund";"15-74 år";"2001M02";1.7
"1112 Lund";"15-74 år";"2001M03";1.5
"1112 Lund";"15-74 år";"2001M04";1.1
"1112 Lund";"15-74 år";"2001M05";1.3
"1112 Lund";"15-74 år";"2001M06";1.5
"1112 Lund";"15-74 år";"2001M07";2.0
"1112 Lund";"15-74 år";"2001M08";1.6
"1112 Lund";"15-74 år";"2001M09";1.8
"1112 Lund";"15-74 år";"2001M10";1.5
"1112 Lund";"15-74 år";"2001M11";2.1
"1112 Lund";"15-74 år";"2001M12";1.9
"1112 Lund";"15-74 år";"2002M01";2.1
"1112 Lund";"15-74 år";"2002M02";1.5
"1112 Lund";"15-74 år";"2002M03";1.7
"1112 Lund";"15-74 år";"2002M04";1.4
"1112 Lund";"15-74 år";"2002M05";1.2
"1112 Lund";"15-74 år";"2002M06";1.1
"1112 Lund";"15-74 år";"2002M07";1.8
"1112 Lund";"15-74 år";"2002M08";1.8
"1112 Lund";"15-74 år";"2002M09";1.8
"1112 Lund";"15-74 år";"2002M10";1.6
"1112 Lund";"15-74 år";"2002M11";1.8
"1112 Lund";"15-74 år";"2002M12";1.5
"1114 Bjerkreim";"15-74 år";"1999M01";0.8
"1114 Bjerkreim";"15-74 år";"1999M02";1.4
"1114 Bjerkreim";"15-74 år";"1999M03";0.8
"1114 Bjerkreim";"15-74 år";"1999M04";1.1
"1114 Bjerkreim";"15-74 år";"1999M05";0.7
"1114 Bjerkreim";"15-74 år";"1999M06";0.8
"1114 Bjerkreim";"15-74 år";"1999M07";0.8
"1114 Bjerkreim";"15-74 år";"1999M08";0.9
"1114 Bjerkreim";"15-74 år";"1999M09";1.0
"1114 Bjerkreim";"15-74 år";"1999M10";0.4
"1114 Bjerkreim";"15-74 år";"1999M11";0.6
"1114 Bjerkreim";"15-74 år";"1999M12";0.9
"1114 Bjerkreim";"15-74 år";"2000M01";1.4
"1114 Bjerkreim";"15-74 år";"2000M02";1.3
"1114 Bjerkreim";"15-74 år";"2000M03";1.0
"1114 Bjerkreim";"15-74 år";"2000M04";1.0
"1114 Bjerkreim";"15-74 år";"2000M05";1.1
"1114 Bjerkreim";"15-74 år";"2000M06";1.7
"1114 Bjerkreim";"15-74 år";"2000M07";1.4
"1114 Bjerkreim";"15-74 år";"2000M08";1.7
"1114 Bjerkreim";"15-74 år";"2000M09";1.5
"1114 Bjerkreim";"15-74 år";"2000M10";1.4
"1114 Bjerkreim";"15-74 år";"2000M11";1.5
"1114 Bjerkreim";"15-74 år";"2000M12";1.4
"1114 Bjerkreim";"15-74 år";"2001M01";1.4
